date,alpha_set,fold,stitched_nav
2024-03-06,A_45_35_20,2020_2023_to_2024,1.0038867556343
2024-03-07,A_45_35_20,2020_2023_to_2024,1.004073642310324
2024-03-08,A_45_35_20,2020_2023_to_2024,1.0060020970563974
2024-03-11,A_45_35_20,2020_2023_to_2024,1.0050945431350338
2024-03-12,A_45_35_20,2020_2023_to_2024,1.003852958177147
2024-03-13,A_45_35_20,2020_2023_to_2024,1.0021952570323052
2024-03-14,A_45_35_20,2020_2023_to_2024,1.0018479854930795
2024-03-15,A_45_35_20,2020_2023_to_2024,1.0022474276316393
2024-03-18,A_45_35_20,2020_2023_to_2024,1.0041838015664448
2024-03-19,A_45_35_20,2020_2023_to_2024,1.0036651800197463
2024-03-20,A_45_35_20,2020_2023_to_2024,1.0046129074474752
2024-03-21,A_45_35_20,2020_2023_to_2024,1.0062627549929837
2024-03-22,A_45_35_20,2020_2023_to_2024,1.0052799269177874
2024-03-25,A_45_35_20,2020_2023_to_2024,1.0042891046595912
2024-03-26,A_45_35_20,2020_2023_to_2024,1.0054104771971903
2024-03-27,A_45_35_20,2020_2023_to_2024,1.0048945934718652
2024-03-28,A_45_35_20,2020_2023_to_2024,1.0052675732136798
2024-03-29,A_45_35_20,2020_2023_to_2024,1.0074019548316888
2024-04-01,A_45_35_20,2020_2023_to_2024,1.0090321272351142
2024-04-02,A_45_35_20,2020_2023_to_2024,1.009390283865164
2024-04-03,A_45_35_20,2020_2023_to_2024,1.0118497302277207
2024-04-08,A_45_35_20,2020_2023_to_2024,1.0146287305175035
2024-04-09,A_45_35_20,2020_2023_to_2024,1.0151865764178087
2024-04-10,A_45_35_20,2020_2023_to_2024,1.0157817669612161
2024-04-11,A_45_35_20,2020_2023_to_2024,1.0152598641229915
2024-04-12,A_45_35_20,2020_2023_to_2024,1.0169457420267196
2024-04-15,A_45_35_20,2020_2023_to_2024,1.016876686838007
2024-04-16,A_45_35_20,2020_2023_to_2024,1.0144989964516242
2024-04-17,A_45_35_20,2020_2023_to_2024,1.015123580854734
2024-04-18,A_45_35_20,2020_2023_to_2024,1.015887884915644
2024-04-19,A_45_35_20,2020_2023_to_2024,1.0155839099767825
2024-04-22,A_45_35_20,2020_2023_to_2024,1.014716681545591
2024-04-23,A_45_35_20,2020_2023_to_2024,1.0114214001999116
2024-04-24,A_45_35_20,2020_2023_to_2024,1.0134177842705256
2024-04-25,A_45_35_20,2020_2023_to_2024,1.0130332956654073
2024-04-26,A_45_35_20,2020_2023_to_2024,1.0167186328978033
2024-04-29,A_45_35_20,2020_2023_to_2024,1.0160809929570533
2024-04-30,A_45_35_20,2020_2023_to_2024,1.0153241025422044
2024-05-06,A_45_35_20,2020_2023_to_2024,1.0177990691266203
2024-05-07,A_45_35_20,2020_2023_to_2024,1.0193162321446707
2024-05-08,A_45_35_20,2020_2023_to_2024,1.0170679186005143
2024-05-09,A_45_35_20,2020_2023_to_2024,1.0201773982216908
2024-05-10,A_45_35_20,2020_2023_to_2024,1.0292674377344044
2024-05-13,A_45_35_20,2020_2023_to_2024,1.031383658347389
2024-05-14,A_45_35_20,2020_2023_to_2024,1.0299701144651539
2024-05-15,A_45_35_20,2020_2023_to_2024,1.030859540869614
2024-05-16,A_45_35_20,2020_2023_to_2024,1.0372036826444155
2024-05-17,A_45_35_20,2020_2023_to_2024,1.04113875616677
2024-05-20,A_45_35_20,2020_2023_to_2024,1.0457092152601004
2024-05-21,A_45_35_20,2020_2023_to_2024,1.0430919347991812
2024-05-22,A_45_35_20,2020_2023_to_2024,1.0423267126760067
2024-05-23,A_45_35_20,2020_2023_to_2024,1.0357276890652043
2024-05-24,A_45_35_20,2020_2023_to_2024,1.0325766222834203
2024-05-27,A_45_35_20,2020_2023_to_2024,1.036297862269418
2024-05-28,A_45_35_20,2020_2023_to_2024,1.0367786450025849
2024-05-29,A_45_35_20,2020_2023_to_2024,1.0334875313800669
2024-05-30,A_45_35_20,2020_2023_to_2024,1.0295638791751507
2024-05-31,A_45_35_20,2020_2023_to_2024,1.0272146516033684
2024-06-03,A_45_35_20,2020_2023_to_2024,1.0271323943944561
2024-06-04,A_45_35_20,2020_2023_to_2024,1.027484271144468
2024-06-05,A_45_35_20,2020_2023_to_2024,1.0269475334700457
2024-06-06,A_45_35_20,2020_2023_to_2024,1.0294243103607157
2024-06-07,A_45_35_20,2020_2023_to_2024,1.0317546383250666
2024-06-11,A_45_35_20,2020_2023_to_2024,1.0259449228370057
2024-06-12,A_45_35_20,2020_2023_to_2024,1.0284020503127527
2024-06-13,A_45_35_20,2020_2023_to_2024,1.0279170268729823
2024-06-14,A_45_35_20,2020_2023_to_2024,1.0287604679856122
2024-06-17,A_45_35_20,2020_2023_to_2024,1.0268544681290839
2024-06-18,A_45_35_20,2020_2023_to_2024,1.0275360875994408
2024-06-19,A_45_35_20,2020_2023_to_2024,1.029792800223691
2024-06-20,A_45_35_20,2020_2023_to_2024,1.0305436818805227
2024-06-21,A_45_35_20,2020_2023_to_2024,1.0292796132785145
2024-06-24,A_45_35_20,2020_2023_to_2024,1.0252672105017266
2024-06-25,A_45_35_20,2020_2023_to_2024,1.026938949582587
2024-06-26,A_45_35_20,2020_2023_to_2024,1.0269869924127193
2024-06-27,A_45_35_20,2020_2023_to_2024,1.0273431720838944
2024-06-28,A_45_35_20,2020_2023_to_2024,1.0300562494153065
2024-06-30,A_45_35_20,2020_2023_to_2024,1.0300576965193007
2024-07-01,A_45_35_20,2020_2023_to_2024,1.0292625618195788
2024-07-02,A_45_35_20,2020_2023_to_2024,1.029919611728995
2024-07-03,A_45_35_20,2020_2023_to_2024,1.0325901785394462
2024-07-04,A_45_35_20,2020_2023_to_2024,1.033117737820932
2024-07-05,A_45_35_20,2020_2023_to_2024,1.0333542559219102
2024-07-08,A_45_35_20,2020_2023_to_2024,1.0340927064197742
2024-07-09,A_45_35_20,2020_2023_to_2024,1.0312255430615431
2024-07-10,A_45_35_20,2020_2023_to_2024,1.0318453808069061
2024-07-11,A_45_35_20,2020_2023_to_2024,1.031944557297179
2024-07-12,A_45_35_20,2020_2023_to_2024,1.0313872245346907
2024-07-15,A_45_35_20,2020_2023_to_2024,1.0301356214134225
2024-07-16,A_45_35_20,2020_2023_to_2024,1.0320122390432809
2024-07-17,A_45_35_20,2020_2023_to_2024,1.0349018292275949
2024-07-18,A_45_35_20,2020_2023_to_2024,1.0338788652088065
2024-07-19,A_45_35_20,2020_2023_to_2024,1.0273974012324114
2024-07-22,A_45_35_20,2020_2023_to_2024,1.028016125529773
2024-07-23,A_45_35_20,2020_2023_to_2024,1.0261624082644298
2024-07-24,A_45_35_20,2020_2023_to_2024,1.0281489654377522
2024-07-25,A_45_35_20,2020_2023_to_2024,1.0214060792571569
2024-07-26,A_45_35_20,2020_2023_to_2024,1.023397570232234
2024-07-29,A_45_35_20,2020_2023_to_2024,1.0233176906352246
2024-07-30,A_45_35_20,2020_2023_to_2024,1.022260849669592
2024-07-31,A_45_35_20,2020_2023_to_2024,1.0241269966608002
2024-08-01,A_45_35_20,2020_2023_to_2024,1.0268824703722423
2024-08-02,A_45_35_20,2020_2023_to_2024,1.021939490084355
2024-08-05,A_45_35_20,2020_2023_to_2024,1.0143381916719019
2024-08-06,A_45_35_20,2020_2023_to_2024,1.016404556695354
2024-08-07,A_45_35_20,2020_2023_to_2024,1.0164032760000676
2024-08-08,A_45_35_20,2020_2023_to_2024,1.0171235849735734
2024-08-09,A_45_35_20,2020_2023_to_2024,1.016954848652399
2024-08-12,A_45_35_20,2020_2023_to_2024,1.0169653732941613
2024-08-13,A_45_35_20,2020_2023_to_2024,1.0198318945957963
2024-08-14,A_45_35_20,2020_2023_to_2024,1.0185494549322733
2024-08-15,A_45_35_20,2020_2023_to_2024,1.0211011489633153
2024-08-16,A_45_35_20,2020_2023_to_2024,1.0212864050577364
2024-08-19,A_45_35_20,2020_2023_to_2024,1.022601532021712
2024-08-20,A_45_35_20,2020_2023_to_2024,1.0212716908569512
2024-08-21,A_45_35_20,2020_2023_to_2024,1.0212432643361877
2024-08-22,A_45_35_20,2020_2023_to_2024,1.0186646775449737
2024-08-23,A_45_35_20,2020_2023_to_2024,1.0198109498738555
2024-08-26,A_45_35_20,2020_2023_to_2024,1.0201862417420822
2024-08-27,A_45_35_20,2020_2023_to_2024,1.018650731691153
2024-08-28,A_45_35_20,2020_2023_to_2024,1.018817007157893
2024-08-29,A_45_35_20,2020_2023_to_2024,1.019870133639384
2024-08-30,A_45_35_20,2020_2023_to_2024,1.0236499624065305
2024-09-02,A_45_35_20,2020_2023_to_2024,1.0185685729833445
2024-09-03,A_45_35_20,2020_2023_to_2024,1.0174149941891402
