date,total_vol_strategy,downside_vol_strategy,hs300_close,hs300_nav,total_vol_dd,downside_vol_dd,hs300_dd
2020-06-12,1.0632623302457946,1.005435223493146,4003.083,1.0574394593460865,-0.0011352110052010866,0.0,-0.04840867896047396
2020-06-15,1.0614642500022526,1.005435223493146,3954.988,1.0447348637138574,-0.0028243887292404013,0.0,-0.05984156321128686
2020-06-16,1.0697915970478202,1.005435223493146,4014.57,1.0604738223781567,0.0,0.0,-0.04567805121561308
2020-06-17,1.0727354840961156,1.0055163462318497,4017.594,1.0612726309277327,0.0,0.0,-0.04495920222976302
2020-06-18,1.0710025740371416,1.0055163462318497,4044.384,1.0683493773044332,-0.00161541226580586,0.0,-0.03859082778170664
2020-06-19,1.0776875418353233,1.0055974689705531,4098.71,1.0826999306325644,0.0,0.0,-0.025676743785248646
2020-06-22,1.0796247058159747,1.0056785917092566,4102.046,1.0835811559372557,0.0,0.0,-0.024883727840540937
2020-06-23,1.0844600848576584,1.0056785917092566,4121.794,1.088797713886008,0.0,0.0,-0.02018933968823733
2020-06-24,1.0849727828562992,1.0059219599253675,4138.99,1.0933401450429228,0.0,0.0,-0.01610159922505039
2020-06-29,1.0849235866266933,1.0059219599253675,4109.716,1.085607234500499,-4.5343284535093176e-05,0.0,-0.023060456768626447
2020-06-30,1.0916094423129372,1.0060030826640711,4163.964,1.0999371836398515,0.0,0.0,-0.010164914511882728
2020-07-01,1.095583682477181,1.0060030826640711,4247.784,1.1220787618890131,0.0,0.0,0.0
2020-07-02,1.1061457379314399,1.0060842054027745,4335.845,1.1453406268639528,0.0,0.0,0.0
2020-07-03,1.123470313218673,1.006165328141478,4419.596,1.167463978330733,0.0,0.0,0.0
2020-07-06,1.1539934154025264,1.0062464508801816,4670.095,1.2336348589062136,0.0,0.0,0.0
2020-07-07,1.1632117228651553,1.0062464508801816,4698.126,1.2410394232095092,0.0,0.0,0.0
2020-07-08,1.1857279922036932,1.0062464508801816,4774.004,1.2610830723909683,0.0,0.0,0.0
2020-07-09,1.2071968204607473,1.0063275736188853,4840.771,1.2787199938293097,0.0,0.0,0.0
2020-07-10,1.2037084866950294,1.006408696357589,4753.133,1.2555698669550548,-0.0028896147724996046,0.0,-0.01810414084863765
2020-07-13,1.228529098938279,1.006408696357589,4852.961,1.281940058716655,0.0,0.0,0.0
2020-07-14,1.2224085339487154,1.0064898190962928,4806.69,1.269717284114329,-0.004982026876574008,0.0,-0.009534591355669253
2020-07-15,1.2159466913303587,1.0064898190962928,4744.469,1.2532812170630157,-0.010241847440809027,0.0,-0.02235583595252466
2020-07-16,1.1676416455780632,1.0065709418349964,4516.253,1.192996530571597,-0.04956126266185812,0.0,-0.06938197113061506
2020-07-17,1.1686911138368548,1.0066520645737,4544.701,1.2005112480379794,-0.048707014879124655,0.0,-0.06351998295473626
2020-07-20,1.1851552494387005,1.0066520645737,4680.305,1.2363318943860984,-0.03530551253288439,0.0,-0.035577454671488096
2020-07-21,1.1980313617497507,1.006733187312404,4691.043,1.239168404374639,-0.024824594887402518,0.0,-0.03336478492203021
2020-07-22,1.2128117285311228,1.006733187312404,4714.445,1.245350189320796,-0.012793649267843543,0.0,-0.02854257431699947
2020-07-23,1.222986637595288,1.0068143100511076,4712.436,1.2448194993816102,-0.0045114611837692165,0.0,-0.02895654838355388
2020-07-24,1.1825135906704571,1.0068954327898112,4505.591,1.1901800964593023,-0.03745577398825106,0.0,-0.07157898033798327
2020-07-27,1.1966220980887845,1.0068954327898112,4528.45,1.1962184445528072,-0.025971709483372685,0.0,-0.06686866018498816
2020-07-28,1.2026597426630277,1.0069765555285148,4568.258,1.2067339772054275,-0.0210571782936263,0.0,-0.0586658330862333
2020-07-29,1.2281109963770602,1.0069765555285148,4679.008,1.2359892837085849,-0.00034032776397419084,0.0,-0.03584471418583424
2020-07-30,1.223254177615438,1.0070576782672187,4656.151,1.2299514639276128,-0.004293688547873931,0.0,-0.04055462221930073
2020-07-31,1.2396115007727726,1.0071388010059223,4695.046,1.2402258219090152,0.0,0.0,-0.03253992768538627
2020-08-03,1.2551913710652454,1.0072199237446258,4771.311,1.2603716995655685,0.0,0.0,-0.016824779758172537
2020-08-04,1.2508101366558808,1.0072199237446258,4775.802,1.2615580253579448,-0.0034904911795612392,0.0,-0.015899365356531914
2020-08-05,1.2643569291976298,1.0072199237446258,4777.109,1.2619032775981223,0.0,0.0,-0.015630045244542368
2020-08-06,1.261517157326072,1.0073010464833294,4762.764,1.2581139559566974,-0.0022460207287826606,0.0,-0.018585972563966657
2020-08-07,1.255812145371175,1.007382169222033,4707.926,1.2436281546201724,-0.006758205400018924,0.0,-0.02988587792071684
2020-08-10,1.251213870417833,1.0074632919607367,4724.87,1.2481040183979557,-0.010395054178361951,0.0,-0.02639440127377901
2020-08-11,1.2385685353808722,1.0074632919607367,4681.784,1.2367225815040952,-0.02039645073414753,0.0,-0.035272692280032825
2020-08-12,1.216374031955397,1.0075444146994401,4647.645,1.2277045507256639,-0.03795043641092943,0.0,-0.04230736657475709
2020-08-13,1.216717487311545,1.0075444146994401,4635.713,1.224552638155048,-0.03767879210842551,0.0,-0.04476607168283453
2020-08-14,1.2243007654228635,1.007625537438144,4704.629,1.2427572314098707,-0.03168105686753042,0.0,-0.03056525696373824
2020-08-17,1.2339471072187076,1.0077066601768476,4815.226,1.2719721220042697,-0.02405161175351056,0.0,-0.0077756652072829
2020-08-18,1.244695131961025,1.0077066601768476,4812.756,1.2713196560262763,-0.015550828079126555,0.0,-0.008284632825196758
2020-08-19,1.2299191479325704,1.0077877829155513,4740.678,1.2522798006571152,-0.02723738880200055,0.0,-0.02313700851912881
2020-08-20,1.2214314998926985,1.0077877829155513,4679.154,1.2360278505234785,-0.03395040459988785,0.0,-0.03581462946024083
2020-08-21,1.2259648364192288,1.0079500283929586,4718.843,1.2465119485803977,-0.03036491665590413,0.0,-0.02763632347344247
2020-08-24,1.2309192287472537,1.0079500283929586,4755.849,1.2562873153745815,-0.026446408983257563,0.0,-0.020010875834361785
2020-08-25,1.2302115462697725,1.0080311511316622,4761.951,1.257899196912119,-0.027006126307644984,0.0,-0.018753499152373232
2020-08-26,1.2268694980655102,1.0080311511316622,4706.13,1.2431537299657285,-0.02964940537472227,0.0,-0.030255961257467323
2020-08-27,1.2355541907406273,1.0081122738703656,4731.345,1.2498144302228582,-0.02278054384158823,0.0,-0.02506016429969249
2020-08-28,1.2472548555464442,1.0081933966090693,4844.265,1.2796429558240912,-0.013526301992933809,0.0,-0.0017918957106803912
2020-08-31,1.2472915408876222,1.008274519347773,4816.215,1.2722333725517339,-0.013497286973257916,0.0,-0.007571872100352706
2020-09-01,1.252544273736573,1.008274519347773,4842.122,1.2790768689452083,-0.009342817038661022,0.0,-0.0022334817856561884
2020-09-02,1.2523501486479691,1.0083556420864768,4843.887,1.2795431047553938,-0.009496353658045131,0.0,-0.0018697863016003957
2020-09-03,1.2423548302331504,1.0083556420864768,4817.095,1.2724658300661607,-0.017401809929132983,0.0,-0.007390539507735605
2020-09-04,1.234915848816118,1.008517887563884,4770.219,1.260083240922666,-0.0232854186200373,0.0,-0.017049797020829205
2020-09-07,1.2260858945193447,1.008517887563884,4669.368,1.233442817300545,-0.03026916987956252,0.0,-0.0378311303140495
2020-09-08,1.222837147127034,1.0085990103025875,4694.389,1.2400522712419941,-0.03283865585087942,0.0,-0.03267530895055615
2020-09-09,1.2189608550965074,1.0085990103025875,4584.589,1.2110479131919112,-0.03590447685522713,0.0,-0.055300671074834495
2020-09-10,1.2164244833004785,1.0086801330412913,4581.978,1.210358201180356,-0.0379105336398714,0.0,-0.055838693119520166
2020-09-11,1.219304004053611,1.008761255779995,4627.283,1.2223258008293452,-0.03563307488859946,0.0,-0.0465031554962011
2020-09-14,1.2228663832488766,1.0088423785186984,4651.051,1.2286042669690025,-0.03281553253722691,0.0,-0.04160552701742293
2020-09-15,1.2273108776197175,1.0088423785186984,4688.483,1.23849216433267,-0.029300311266868273,0.0,-0.03389229791873449
2020-09-16,1.2221975226198305,1.008923501257402,4657.358,1.2302703005411506,-0.033344545044376006,0.0,-0.04030590808374512
2020-09-17,1.2150551957924567,1.008923501257402,4632.714,1.223760433512132,-0.038993524903177756,0.0,-0.045384044916083166
2020-09-18,1.219842464033831,1.0090857467348096,4737.089,1.2513317438170264,-0.03520719832812402,0.0,-0.023876557013336797
2020-09-21,1.2160720264662916,1.0090857467348096,4691.428,1.2392701045372008,-0.03818929735448995,0.0,-0.03328545191276022
2020-09-22,1.2140137056028513,1.0091668694735132,4635.761,1.224565317655835,-0.039817256055002304,0.0,-0.04475618081414623
2020-09-23,1.2110019583999443,1.0092479922122168,4652.327,1.2289413303649215,-0.04219929480795026,0.0,-0.04134259475812796
2020-09-24,1.2039512080907726,1.0092479922122168,4563.066,1.2053624778703087,-0.047775845342336254,0.0,-0.05973569538267476
2020-09-25,1.208163771422936,1.0094102376896241,4570.022,1.2071999488593468,-0.044444062018431985,0.0,-0.05830234366194176
2020-09-28,1.2116036056342412,1.0094913604283278,4581.909,1.2103399743979746,-0.04172344244347692,0.0,-0.05585291124325964
2020-09-29,1.2117857073670382,1.0095724831670316,4591.799,1.2129524798726132,-0.0415794152873854,0.0,-0.0538149801739598
2020-09-30,1.213832128060623,1.00997809686055,4587.395,1.2117891356754134,-0.039960868620437906,0.0,-0.05472246737610287
2020-10-09,1.2231255493304685,1.0101403423379576,4681.141,1.2365527290248037,-0.032610553962263644,0.0,-0.035405188708501956
2020-10-12,1.231287736150458,1.0101403423379576,4823.158,1.2740674095093087,-0.026154950618381023,0.0,-0.0061411991565560875
2020-10-13,1.232984406441104,1.0102214650766612,4839.201,1.2783052684910707,-0.02481302710654265,0.0,-0.002835382357286642
