file,path,exists,size_mb,pandas_readable,pandas_error,duckdb_readable,duckdb_error,columns,rows,nonnull_rate_json,date_min,date_max,n_code,duplicate_key_rows_est,key_fields,list_date_min,list_date_max,n_tracking_index,n_index_code,report_date_min,report_date_max,n_industry,delist_date_min,delist_date_max
part_0003_2020.parquet,data/raw/etf_daily_parts/part_0003_2020.parquet,True,0.0083,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13365,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0102, ""amount"": 0.0102}",2020-01-02,2020-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2021.parquet,data/raw/etf_daily_parts/part_0003_2021.parquet,True,0.0197,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13365,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0953, ""amount"": 0.0953}",2021-01-04,2021-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2022.parquet,data/raw/etf_daily_parts/part_0003_2022.parquet,True,0.0284,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13310,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.1647, ""amount"": 0.1647}",2022-01-04,2022-12-30,55.0,0.0,date;code,,,,,,,,,
part_0003_2023.parquet,data/raw/etf_daily_parts/part_0003_2023.parquet,True,0.0405,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13310,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.2711, ""amount"": 0.2711}",2023-01-03,2023-12-29,55.0,0.0,date;code,,,,,,,,,
part_0003_2024.parquet,data/raw/etf_daily_parts/part_0003_2024.parquet,True,0.068,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13310,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.4978, ""amount"": 0.4978}",2024-01-02,2024-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2025.parquet,data/raw/etf_daily_parts/part_0003_2025.parquet,True,0.1099,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13365,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.8276, ""amount"": 0.8276}",2025-01-02,2025-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2026.parquet,data/raw/etf_daily_parts/part_0003_2026.parquet,True,0.041,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,3740,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.9816, ""amount"": 0.9816}",2026-01-05,2026-04-17,55.0,0.0,date;code,,,,,,,,,
etf_info.parquet,data/raw/etf_info.parquet,True,0.0461,False,OSError: Repetition level histogram size mismatch,True,,code;name;track_raw;track_name;tracking_index;list_date,1566,"{""code"": 1.0, ""tracking_index"": 0.1501}",,,1566.0,0.0,code,2014-01-02,2026-02-02,15.0,,,,,,
ifind_required_data_inventory.csv,data/raw/ifind_required_data_inventory.csv,True,0.0082,True,,True,,data_item;module;required_fields;current_file;candidate_file;pit_requirement;priority;notes,25,{},,,,,,,,,,,,,,
ak_latest_000010.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000010.SH_2026-04-17.parquet,True,0.0057,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,180,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,180.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000015.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000015.SH_2026-04-17.parquet,True,0.0044,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000016.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000016.SH_2026-04-17.parquet,True,0.0044,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000050.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000050.SH_2026-04-17.parquet,True,0.0044,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000300.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000300.SH_2026-04-17.parquet,True,0.0068,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,300,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,300.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000510.CSI_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000510.CSI_2026-04-17.parquet,True,0.0082,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,500,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,500.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000688.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000688.SH_2026-04-17.parquet,True,0.0044,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000698.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000698.SH_2026-04-17.parquet,True,0.005,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,100,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,100.0,0.0,date;index_code;code,,,,0.0,,,,,
