date,S0 三因子·原风险层(现状),S1 三因子·松风险层,S2 +low_corr(0.20)·松,S3 ++resid_mom(0.20)·松,S4 +++dd_resil(0.15)·松
2023-06-02,1.4000657171951938,1.4589785226913083,1.2853624678066116,1.293883321762977,1.2742520987892854
2023-06-05,1.4004770740662293,1.4596479472596982,1.2863406087509883,1.2950005524432728,1.2757940904844218
2023-06-06,1.3961215495046482,1.4520520093156073,1.280556720322124,1.2899089457456614,1.2705056578134855
2023-06-07,1.394815619086693,1.4497509282268832,1.2787723905387698,1.2897669262100036,1.269560396028371
2023-06-08,1.3951807603293842,1.4503461913460176,1.2802628326380958,1.2883453455459837,1.2705161700530765
2023-06-09,1.4003260413527212,1.4591637843659906,1.2874451053385012,1.2965073126039248,1.2780609252116315
2023-06-12,1.401615235840314,1.461365211241327,1.2887308813709777,1.3027846517588706,1.2808088330982226
2023-06-13,1.4040815945536615,1.4656134750331287,1.2924679551822669,1.3117851324106127,1.286338097406951
2023-06-14,1.404125420698801,1.46565958042505,1.2918728329335425,1.315017481660217,1.286522965517013
2023-06-15,1.406163228927219,1.4691670943817456,1.294704955835437,1.3142777948620203,1.2879288716614845
2023-06-16,1.408891578710158,1.4738123501925353,1.2982443160895671,1.3243034912266476,1.29330134010455
2023-06-19,1.4115109307314018,1.4783563733462002,1.3020452330019912,1.3331266737090863,1.298734020809977
2023-06-20,1.4128861430359148,1.4807265427445857,1.3039907458820144,1.3400491928170775,1.3023503353212131
2023-06-21,1.4086329376651645,1.4731148432381898,1.298479911359744,1.3285092739183817,1.2953465142986407
2023-06-26,1.4069756871872001,1.4701884702289685,1.2963034008258882,1.3155068380594261,1.2897958684669455
2023-06-27,1.4092846800862058,1.474171915173628,1.2996716772086256,1.3197960534567275,1.2936977862435888
2023-06-28,1.408598580568103,1.4729303158298175,1.2986722053373498,1.3110663899532393,1.290391197404709
2023-06-29,1.4094298949226505,1.4743337076464973,1.2996737108017082,1.3145000481401798,1.2918507206303833
2023-06-30,1.4129878902732913,1.4804079958984218,1.3048369428306472,1.321462655054599,1.2972662015510528
2023-07-03,1.4152165044434704,1.4842311331055318,1.3085169572767699,1.3236514923814058,1.3003153760536972
2023-07-04,1.4168968963997215,1.4871302407767917,1.3104882753407718,1.3257932922933087,1.3024194158057827
2023-07-05,1.4137888064276831,1.4816474842456577,1.3071010909579872,1.3227103955277781,1.2993908708375046
2023-07-06,1.4117315946776667,1.4780237863660894,1.3046783109067472,1.3207603231123235,1.2974751784057514
2023-07-07,1.4102042884907082,1.4752524592183467,1.3029641946875088,1.3190160692150747,1.295761675889879
2023-07-10,1.4095660963735994,1.4741018592667579,1.3024206023538798,1.3181315082413887,1.2948927098200629
2023-07-11,1.4146904310218154,1.4830031570409865,1.3083669847597803,1.3242914470001972,1.300944048204623
2023-07-12,1.4144296187263512,1.4825093997482521,1.3083272974378872,1.32365256021003,1.30031642505639
2023-07-13,1.4189836032187748,1.4904342443633918,1.3143414771637152,1.3306020908821443,1.3071434347650022
2023-07-14,1.419359037976256,1.4909919793300372,1.313997438988937,1.3307200336067326,1.3072592981468354
2023-07-17,1.4186655381654671,1.4897471902901107,1.3134362530751424,1.3308876586100087,1.307423967903509
2023-07-18,1.4186858745728599,1.4897445371249516,1.3144751486827198,1.3318642164129095,1.3083833088886747
2023-07-19,1.4203455383297485,1.4926185960839453,1.3185474789514342,1.3359778814083734,1.3124244495335675
2023-07-20,1.4177347340747324,1.4880151882677466,1.3158107013222928,1.3308604583194892,1.307397247156999
2023-07-21,1.4165082190821292,1.4857703486641303,1.3133548651517981,1.3274036551979078,1.3040013878414207
2023-07-24,1.4157424068943623,1.484393450248705,1.3125822589906384,1.3271742007329692,1.3037759786830576
2023-07-25,1.4220355041576243,1.4953600662749749,1.3190655185113627,1.3329699060704858,1.3094695051202097
2023-07-26,1.4202059901613058,1.4921152714120196,1.3174533565973607,1.3308433155176267,1.3073804065845533
2023-07-27,1.4212593503425723,1.4939291274774902,1.3188036110889252,1.3321912958093742,1.3087046218406575
2023-07-28,1.4245152409379396,1.4995103836184864,1.3215170405446965,1.334971943522712,1.3114362464396194
2023-07-31,1.4262178148513158,1.5024666139140452,1.3233548155608044,1.3366046572679053,1.3130401752681582
2023-08-01,1.4252431708610815,1.5007013887039047,1.3220727619128252,1.3361271421070748,1.3125665014429166
2023-08-02,1.424567040371328,1.4994686359807852,1.3189784470983053,1.3328353719272836,1.3097277122434516
2023-08-03,1.424956906816207,1.5001141055284086,1.3187310801376335,1.332371703862331,1.3095819426789919
2023-08-04,1.426015600351097,1.5018715931935465,1.3200549236004009,1.3339304778831327,1.3108815417622117
2023-08-07,1.4247997740661877,1.4997066014121423,1.3178833827073455,1.331839967456914,1.3087559492159277
2023-08-08,1.4235536217646407,1.4974897123425126,1.3160180891244064,1.3299656858927569,1.3069494327550937
2023-08-09,1.423646222266762,1.497613648553863,1.3165997869303347,1.3304745078053448,1.3074768937865509
2023-08-10,1.4251644609381122,1.5002447841735207,1.3178546353974607,1.331612983875593,1.308845053959963
2023-08-11,1.4217777177157342,1.4942027930564568,1.3134610976008134,1.3271850044567683,1.304286386504473
2023-08-14,1.4208738168702486,1.492588892431876,1.311834350530219,1.3255497485586907,1.3027253329763075
