fold,candidate_id,factor_preset,risk_preset,portfolio_preset,w_combo_eff_accel,w_momentum_12_1,w_fund_hit_rate_20,w_vol_60d,w_max_drawdown_60d,top_n,max_per_theme,max_weight,volatility_target,weak_market_exposure,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
2020_2023_to_2024,mom_heavy__risk_light__defensive,mom_heavy,risk_light,defensive,0.35,0.45,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.17313901925502617,0.04308267129763288,0.06710570600097177,0.6420120413755723,-0.08251586150534518,0.5221138155946186,2024-01-02,2024-12-31,243,0.06944067219467764,0.07210315611458284,0.054698576216204324,1.3181907300399247,-0.03097931433643608,2.327461328922289,0.8234032411785486
2020_2023_to_2024,mom_heavy__risk_balanced__balanced,mom_heavy,risk_balanced,balanced,0.35,0.45,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.32230285424996863,0.0765883627302717,0.07068638726888961,1.0834952200758414,-0.06715353668847346,1.1404963387939875,2024-01-02,2024-12-31,243,0.06837057914667732,0.07099068783282148,0.046886544246903465,1.5140951198916717,-0.026273342218978257,2.7020044591640167,1.6869613618528074
2020_2023_to_2024,mom_heavy__risk_balanced__defensive,mom_heavy,risk_balanced,defensive,0.35,0.45,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.1682966551973728,0.041943629958783646,0.06563217994302195,0.6390711080326247,-0.08243873132329971,0.5087854857238577,2024-01-02,2024-12-31,243,0.05614370948579683,0.058282578773814375,0.053136421947813615,1.0968480119164763,-0.03578704284489265,1.628594433645198,0.8080734890579121
2020_2023_to_2024,mom_heavy__risk_defensive__balanced,mom_heavy,risk_defensive,balanced,0.35,0.45,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.29565419908404733,0.07081415561819027,0.06985646560823988,1.0137093968555635,-0.06662802251872424,1.0628284157508894,2024-01-02,2024-12-31,243,0.068292376384123,0.07090938989149076,0.04657500581058465,1.5224773171230794,-0.02582823358978259,2.7454215808061244,1.571776180728404
2020_2023_to_2024,mom_heavy__risk_defensive__defensive,mom_heavy,risk_defensive,defensive,0.35,0.45,0.2,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.1721146826773301,0.04284201143425426,0.06506417149353484,0.658457803285965,-0.08195202417943215,0.5227694112893736,2024-01-02,2024-12-31,243,0.05546977479016668,0.05758227643021585,0.05291686079989378,1.0881650112988455,-0.035183213702872695,1.636640612665644,0.8324433065597672
2020_2023_to_2024,hit_quality__risk_light__balanced,hit_quality,risk_light,balanced,0.4,0.3,0.3,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.3754954656938121,0.0878627810939796,0.0723043623901641,1.2151795298305816,-0.06402571430078985,1.3723045818935236,2024-01-02,2024-12-31,243,0.0629448112947888,0.06535069779105518,0.06221204174207971,1.0504509410250156,-0.03812467572678091,1.7141312429616073,1.9918128802054094
2020_2023_to_2024,hit_quality__risk_light__defensive,hit_quality,risk_light,defensive,0.4,0.3,0.3,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.20609869150735083,0.05074505696815823,0.06719055906782688,0.7552408801500312,-0.08187265399663857,0.6198047148959122,2024-01-02,2024-12-31,243,0.0816835187662388,0.08483373860186894,0.05993290643776891,1.4154784682427457,-0.033590845247559065,2.5255017543219913,0.9818613564566877
2020_2023_to_2024,hit_quality__risk_balanced__balanced,hit_quality,risk_balanced,balanced,0.4,0.3,0.3,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.3242140527376385,0.07699917734619,0.0706296261754494,1.0901824279080585,-0.06785519563241948,1.1347572817165639,2024-01-02,2024-12-31,243,0.07026565045117206,0.07296083130884456,0.05191750065713769,1.4053224902076216,-0.03277635101436838,2.2260205621077302,1.6844204865274786
2020_2023_to_2024,hit_quality__risk_balanced__defensive,hit_quality,risk_balanced,defensive,0.4,0.3,0.3,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.17757092655572237,0.044122135013168196,0.06527524325491678,0.6759398021828857,-0.08189088933277355,0.5387917431678212,2024-01-02,2024-12-31,243,0.08048181610707505,0.08358392478345933,0.059254578322116974,1.4105901543857808,-0.03483053466977104,2.399731315523006,0.8578772670994614
2020_2023_to_2024,hit_quality__risk_defensive__balanced,hit_quality,risk_defensive,balanced,0.4,0.3,0.3,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.3090138464467014,0.07371972488630885,0.06869995506829556,1.0730680218498407,-0.06866208496028503,1.073659865250949,2024-01-02,2024-12-31,243,0.06703034127500751,0.06959743532139484,0.04897082250277713,1.4212020906417893,-0.03187068126445913,2.1837448262835544,1.6127226961388814
