dt,exI_base,scaleA,scaleB,scaleC,exI_A,exI_B,exI_C
2025-02-28,-0.00014785356678435717,0.8771083462055461,0.5,0.5,-0.00012968359744281878,-7.392678339217858e-05,-7.392678339217858e-05
2025-03-31,0.010795913581178457,0.8590037404865853,0.5,0.5,0.00927373014820222,0.005397956790589228,0.005397956790589228
2025-04-30,-0.009326850952976636,1.0,0.5,0.5,-0.009326850952976636,-0.004663425476488318,-0.004663425476488318
2025-05-30,-0.024439731411862013,1.0,0.5,0.5,-0.024439731411862013,-0.012219865705931006,-0.012219865705931006
2025-06-30,0.016786245082230367,1.0,0.5,0.5,0.016786245082230367,0.008393122541115183,0.008393122541115183
2025-07-31,-0.006642102943263395,0.9972917982691986,1.0,0.9972917982691986,-0.006624114788576288,-0.006642102943263395,-0.006624114788576288
2025-08-29,0.0020179972976805335,1.0,0.5,0.5,0.0020179972976805335,0.0010089986488402668,0.0010089986488402668
2025-09-30,0.006342358085461122,0.9942989463832606,1.0,0.9942989463832606,0.006306199961959347,0.006342358085461122,0.006306199961959347
2025-10-31,-0.028097303505484596,1.0,1.0,1.0,-0.028097303505484596,-0.028097303505484596,-0.028097303505484596
2025-11-28,-0.002522994292110947,0.8381727718516928,1.0,0.8381727718516928,-0.002114705119184632,-0.002522994292110947,-0.002114705119184632
2025-12-31,-0.08925961288226282,0.9810531293786783,1.0,0.9810531293786783,-0.08756842254527332,-0.08925961288226282,-0.08756842254527332
