因子,RankIC,ICIR,t值,IC>0占比,多空年化,多空夏普
gtja130,0.0247,0.464,5.31,0.695,0.0246,0.41
gtja101,0.0402,0.463,5.3,0.664,0.1202,0.74
gtja157,0.0405,0.462,5.28,0.649,0.1153,1.01
gtja121,0.0475,0.454,5.19,0.672,0.0938,0.7
gtja41,0.0479,0.437,5.0,0.664,0.064,0.53
gtja187,-0.0557,-0.437,-5.01,0.321,-0.0712,-0.32
gtja40,-0.0425,-0.431,-4.93,0.344,-0.102,-0.79
gtja59,-0.0506,-0.43,-4.93,0.328,-0.1347,-0.96
gtja88,-0.0575,-0.429,-4.91,0.359,-0.186,-1.05
gtja81,-0.0508,-0.42,-4.81,0.313,-0.1276,-0.66
gtja136,0.0275,0.411,4.7,0.695,0.0772,0.83
gtja177,-0.0408,-0.401,-4.59,0.366,-0.1505,-0.94
gtja55,-0.0487,-0.4,-4.58,0.321,-0.1509,-1.02
gtja51,-0.0417,-0.399,-4.56,0.359,-0.1188,-0.9
gtja67,-0.0516,-0.399,-4.56,0.336,-0.1518,-0.95
gtja50,-0.0417,-0.399,-4.56,0.359,-0.1188,-0.9
gtja49,0.0417,0.399,4.56,0.641,0.1143,0.9
gtja175,-0.0525,-0.399,-4.57,0.336,-0.0637,-0.26
gtja135,-0.0564,-0.398,-4.56,0.366,-0.1415,-0.76
gtja120,0.0363,0.398,4.56,0.626,0.0978,0.77
gtja71,-0.0508,-0.394,-4.5,0.344,-0.1788,-1.04
